id;descricao;entidade;anexo;anexo_content_type;codigo_entidade;data
1;Incredible District;DEVOLUCAO_COMPRA;../fake-data/blob/hipster.png;image/png;initiatives;2019-12-11T19:36:08
2;withdrawal South Carolina Pakistan Rupee;DOCUMENTO_COMERCIAL;../fake-data/blob/hipster.png;image/png;Innovative;2019-12-11T15:17:26
3;Technician web-enabled;LOCAL_ARMAZENAMENTO;../fake-data/blob/hipster.png;image/png;Bedfordshire withdrawal Unbranded Concrete Chair;2019-12-12T01:29:16
4;Pines;CONTACTO_EMPRESA;../fake-data/blob/hipster.png;image/png;Walk;2019-12-11T23:21:40
5;Manors;PESSOA;../fake-data/blob/hipster.png;image/png;plum Borders;2019-12-12T10:02:24
6;Movies gold Sports;CLASSE_CONTA;../fake-data/blob/hipster.png;image/png;interfaces tan empower;2019-12-12T09:06:25
7;foreground bypassing mobile;ITEM_COMPRA;../fake-data/blob/hipster.png;image/png;Buckinghamshire;2019-12-11T17:19:06
8;Architect;MORADA_PESSOA;../fake-data/blob/hipster.png;image/png;strategize interface;2019-12-11T12:59:54
9;Swedish Krona Phased Guyana Dollar;DEVOLUCAO_VENDA;../fake-data/blob/hipster.png;image/png;calculating Sports deposit;2019-12-12T08:56:42
10;Stand-alone Small Rubber Pizza Fiji Dollar;PRODUTO;../fake-data/blob/hipster.png;image/png;withdrawal Rustic;2019-12-11T19:51:38
