id;tipo_contacto;descricao;contacto;padrao;empresa_id
1;SAS deposit;Saint Barthelemy;generating Savings Account Indian Rupee;false;1
2;Martinique Albania synthesizing;Sports back up ivory;navigate Croatian Kuna hack;true;2
3;Trail;Liaison 24/365;payment optical;false;3
4;Cotton withdrawal;Costa Rican Colon;Kids;false;4
5;Bacon evolve;Utah Mission;protocol Awesome;false;5
6;Kwacha Generic Granite Chicken;multi-byte 3rd generation;initiative deposit Car;true;6
7;transmit Developer;neural;Japan enable;false;7
8;system;Fantastic;Generic Soft Fish;true;8
9;capacitor model Table;withdrawal digital;Som;true;9
10;navigate hard drive Intranet;Towels;Director Chair;true;10
