id;tipo_sociedade;nome;logotipo;logotipo_content_type;capital_social;fundacao;nif;numero_registro_comercial;despesa_fixa;despesa_variavel;abertura_exercio;designacao_comercial;sede
1;invoice Cambridgeshire;Secured olive;../fake-data/blob/hipster.png;image/png;61098;2019-12-12;next-generation Huma;efficient Exclusive virtual;27;73;2019-12-11;../fake-data/blob/hipster.txt;true
2;New Leu primary;Savings Account Landing Delaware;../fake-data/blob/hipster.png;image/png;16801;2019-12-12;SCSI Field Bermuda;Home;64;23;2019-12-11;../fake-data/blob/hipster.txt;false
3;deposit Integrated;Checking Account Avon;../fake-data/blob/hipster.png;image/png;98778;2019-12-12;Credit Card Account;deploy content monitor;69;1;2019-12-11;../fake-data/blob/hipster.txt;false
4;bypassing;array Virginia;../fake-data/blob/hipster.png;image/png;27416;2019-12-11;asymmetric;Investor maroon;32;37;2019-12-12;../fake-data/blob/hipster.txt;false
5;Checking Account convergence;Handcrafted Soft Car Profit-focused Ethiopia;../fake-data/blob/hipster.png;image/png;88007;2019-12-11;Pataca Function-base;collaboration Aruban Guilder;100;38;2019-12-11;../fake-data/blob/hipster.txt;false
6;Producer Lodge;Awesome Rubber Computer Usability;../fake-data/blob/hipster.png;image/png;17530;2019-12-11;override Hat partner;Stravenue back up;35;30;2019-12-11;../fake-data/blob/hipster.txt;true
7;Via enhance Cotton;Chair Producer Accounts;../fake-data/blob/hipster.png;image/png;53995;2019-12-12;Kyat Generic Cloned;program Rubber connecting;78;16;2019-12-11;../fake-data/blob/hipster.txt;false
8;Plastic;encompassing;../fake-data/blob/hipster.png;image/png;36013;2019-12-12;plug-and-play;Lithuania;30;83;2019-12-12;../fake-data/blob/hipster.txt;false
9;Communications XML;Forward;../fake-data/blob/hipster.png;image/png;49696;2019-12-11;Texas aggregate Camb;Granite quantifying;38;68;2019-12-11;../fake-data/blob/hipster.txt;true
10;transmitter Soft orange;Incredible utilize Keyboard;../fake-data/blob/hipster.png;image/png;69495;2019-12-12;Metrics North Caroli;generating Granite FTP;93;61;2019-12-11;../fake-data/blob/hipster.txt;false
