id;valor;nome;type;ordem
1;Mali Unbranded Concrete Soap;Cotton Tactics;USUARIO;79402
2;Investment Account Rwanda Customer;Liaison copy program;SISTEMA;49398
3;navigate Licensed Bosnia and Herzegovina;indexing Rubber;USUARIO;22925
4;application driver;Credit Card Account Nevada;SISTEMA;34252
5;Intuitive vortals;Communications;USUARIO;50588
6;Money Market Account;bus;SISTEMA;79008
7;Clothing deposit quantify;Checking Account markets;USUARIO;11323
8;Officer;yellow programming strategy;SISTEMA;60789
9;streamline navigate;neural;USUARIO;39816
10;Switzerland Chief;Inlet Rue;USUARIO;24822
