id;serie;codigo_lancamento_financeiro;codigo_escrituracao_contabil;codigo_venda;codigo_compra;codigo_cliente;codigo_fornecedor;codigo_devolucao_venda;codigo_devolucao_compra;codigo_produto;data
1;system Gorgeous Rubber Pants;15865;75784;12017;1440;34188;11608;9180;4601;9416;2019-12-12
2;JBOD;70366;17533;47417;1717;9784;76336;49162;80691;47347;2019-12-12
3;Light;64977;39851;4806;61585;94914;63509;88668;4531;26090;2019-12-12
4;Personal Loan Account;50314;50104;85649;53938;65869;68396;16294;61585;7057;2019-12-11
5;Solutions COM;63640;94023;80095;57547;67717;38817;57337;64329;12850;2019-12-11
6;Somalia Web revolutionize;96119;65148;90535;20669;19579;27396;6937;21459;10078;2019-12-12
7;Ergonomic Rubber Chicken;33656;7119;65572;31898;38540;84487;68161;2328;34063;2019-12-11
8;hybrid;11817;69289;69674;34834;62894;93664;87747;3919;73507;2019-12-12
9;Specialist China deliverables;56852;80683;57592;99050;73165;41262;12769;37202;25002;2019-12-11
10;user-centric Infrastructure;85841;23860;42899;67984;75087;73991;75454;23824;10313;2019-12-12
