id;nome;sigla;valor
1;RSS;Tunisia Customer-focused Planner;90945
2;array Kenya;Rustic Soft Cheese British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball;46678
3;Automotive Liaison Applications;Executive Buckinghamshire;86354
4;Kansas target;Cook Islands;56271
5;niches Home Loan Account Central;Oregon SCSI;98073
6;content generating;New Hampshire mobile Fall;99612
7;Refined Steel Table;compressing Future;6245
8;AGP;Beauty Orchestrator;22074
9;driver connect Quality;bus;69253
10;Rubber moderator;synthesizing B2B;73305
