id;numero;historico;valor;referencia;entidade_referencia;tipo;data_documento;data;empresa_id
1;Forint;../fake-data/blob/hipster.txt;73521;azure;LANCAMENTO_FINANCEIRO;parsing;2019-12-11;2019-12-11T21:46:22;1
2;content-based Executive;../fake-data/blob/hipster.txt;96541;Virginia THX pink;LOCAL_ARMAZENAMENTO;Internal AI optical;2019-12-11;2019-12-11T13:45:00;2
3;Marketing;../fake-data/blob/hipster.txt;78534;New Zealand Dollar Alabama transform;REGRA_MOVIMENTACAO_DEBITO;Cayman Islands Dollar invoice;2019-12-12;2019-12-12T05:56:59;3
4;Computers Bedfordshire Fish;../fake-data/blob/hipster.txt;36646;program alarm;FLUXO_DOCUMENTO;turn-key dedicated;2019-12-12;2019-12-11T20:00:55;4
5;Coordinator Cambridgeshire Investor;../fake-data/blob/hipster.txt;43439;dot-com payment Libyan Dinar;LICENCA_SOFTWARE;deposit Chips Applications;2019-12-11;2019-12-12T03:27:45;5
6;PCI back up Factors;../fake-data/blob/hipster.txt;33075;Venezuela Wisconsin;COMPRA;infrastructure;2019-12-12;2019-12-12T01:13:39;6
7;matrix calculating;../fake-data/blob/hipster.txt;93001;Ergonomic Concrete Soap Zambian Kwacha;ITEM_COMPRA;program;2019-12-11;2019-12-12T06:53:35;7
8;array France protocol;../fake-data/blob/hipster.txt;41978;Synergistic Personal Loan Account Sleek;PRODUTO;deposit;2019-12-11;2019-12-12T00:38:57;8
9;Unbranded Fresh Pants Tools California;../fake-data/blob/hipster.txt;43847;Argentine Peso implementation;PESSOA;Utah Computers Small Fresh Gloves;2019-12-12;2019-12-11T21:16:56;9
10;interface;../fake-data/blob/hipster.txt;82786;composite Orchestrator Club;LOCAL_ARMAZENAMENTO;Strategist;2019-12-11;2019-12-11T17:01:19;10
