id;nome;juro;prazo_liquidacao;quantidade;icon
1;Seychelles Rupee Paradigm attitude-oriented;48;78182;63434;Associate Fantastic
2;Markets Cambridgeshire;43;47596;45770;orchid
3;navigate Movies;86;76756;18603;Somalia applications
4;grey invoice Row;88;64771;21574;El Salvador Colon US Dollar Checking Account fault-tolerant
5;Branding;12;73859;73709;Technician
6;whiteboard;72;46815;19922;Senior 5th generation
7;Azerbaijanian Manat bypassing;78;51586;54381;Refined
8;Computers iterate next-generation;1;70938;12437;web-readiness Buckinghamshire monetize
9;Investor 24/7;73;46409;87764;Sleek Cotton Chicken copy Springs
10;override;52;13151;97601;Rubber Movies navigate
