id;nome;sigla;icon;mostrar_ponto_venda
1;leading-edge Ball synergies;encompassing;firewall Future-proofed withdrawal;true
2;Iowa;payment Facilitator;Armenian Dram Tonga synthesizing;true
3;high-level maroon Gloves;Handmade Concrete Sausages Phased Berkshire;Sleek Metal Car West Virginia Representative;false
4;Yemen payment invoice;Licensed sticky;microchip;true
5;Investor;virtual Indiana Frozen;New Zealand Regional Chicken;true
6;cross-platform;National object-oriented Mountains;Handmade Metal Car Canadian Dollar Solutions;false
7;Monitored Rustic Cotton Sausages;Saint Martin;dot-com;true
8;Brand Money Market Account Data;Orchard China vortals;Florida;true
9;Ferry Senior;hacking Strategist haptic;enhance invoice Intelligent;true
10;Cambridgeshire repurpose Metrics;Hawaii high-level;Investor Car;false
