id;nome;codigo;pais;nacional;icon
1;Uzbekistan;Industrial;Incredible Books Handmade Plastic Pizza;true;Rustic Steel Cheese Accounts quantifying
2;program calculating Checking Account;target;Gorgeous infomediaries utilize;false;real-time
3;invoice;Quality Sm;SQL Taka;false;synthesizing Reactive
4;Rustic Steel Fish whiteboard;white;foreground virtual Marketing;false;Lead
5;Mississippi;Optimized ;grey systems;true;cyan
6;Cambridgeshire Locks Tennessee;Bangladesh;Multi-lateral program;true;virtual
7;Nebraska Wooden;synthesize;RAM;true;protocol optimizing
8;artificial intelligence Electronics;auxiliary ;circuit Awesome Fresh Shoes;false;User-centric bypass
9;Security;innovative;South Carolina;true;Division functionalities seize
10;Technician Ergonomic Australian Dollar;Maryland W;feed Games Ball;true;deposit Engineer hack
