id;motivo_retencao;valor;porcentagem
1;Gorgeous Plastic Table Program;Rubber generate;false
2;paradigms Guinea;matrix;false
3;orange;help-desk;false
4;Movies microchip Specialist;alarm;true
5;applications index Money Market Account;secured line port compressing;false
6;harness;Assistant recontextualize ivory;true
7;Montenegro Tuna;Practical Saint Kitts and Nevis;true
8;Ball;Borders web-enabled Checking Account;false
9;seamless;migration panel quantify;false
10;Buckinghamshire Bedfordshire holistic;Stream Chicken Fish;false
