id;numero_onu;largura;altura;peso_liquido;peso_bruto;data_fabrico;data_expiracao;produto_id
1;PNG compressing azure;80932;95281;78635;32674;2019-12-11;2019-12-12;1
2;Bedfordshire Integration;87631;31860;10256;90355;2019-12-12;2019-12-12;2
3;connecting mission-critical;52159;85881;79448;67694;2019-12-11;2019-12-11;3
4;RSS index;43921;1325;61054;29594;2019-12-12;2019-12-11;4
5;initiatives feed architect;48937;11755;42960;16528;2019-12-11;2019-12-12;5
6;firewall application Bedfordshire;16136;54136;8355;34522;2019-12-12;2019-12-12;6
7;circuit;88166;24153;12149;35427;2019-12-11;2019-12-12;7
8;Cross-group Cote d'Ivoire;60775;31100;24535;16693;2019-12-12;2019-12-12;8
9;contextually-based one-to-one;74939;95986;57191;61630;2019-12-11;2019-12-11;9
10;deliverables metrics;54090;67897;69642;41186;2019-12-11;2019-12-11;10
