id;custo_materia_prima;custo_mao_obra;custo_embalagem;custo_aquisicao;comissao;margem_lucro;preco_venda;data;utilizador_id;produto_id
1;25957;26400;3367;41524;88;89;24339;2019-12-11T14:23:20;2;1
2;63003;3897;85812;66684;79;32;42898;2019-12-11T12:37:22;1;2
3;88811;51420;32529;73622;90;44;99615;2019-12-11T18:10:13;2;3
4;9432;84487;74800;24900;82;58;70683;2019-12-12T08:33:30;2;4
5;9491;82665;99889;90309;32;94;74818;2019-12-11T14:56:25;2;5
6;67425;85802;571;99762;47;24;57116;2019-12-12T09:12:15;1;6
7;41119;31810;13008;96115;2;90;36042;2019-12-11T13:47:33;2;7
8;40601;56618;1369;31277;8;66;31219;2019-12-12T04:36:15;1;8
9;1438;1714;76435;91660;62;71;76230;2019-12-12T02:45:28;1;9
10;13264;83711;51163;61952;0;56;93841;2019-12-11T19:10:55;1;10
