id;tipo;ean;numero;nome;imagem;imagem_content_type;composto;estoque_minimo;estoque_maximo;estoque_atual;descricao;mostrar_pdv;prazo_medio_entrega;utilizador_id;familia_id;estado_id
1;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;../fake-data/blob/hipster.png;image/png;true;7041;9717;20891;../fake-data/blob/hipster.txt;true;Director Concrete Bedfordshire;2;1;1
2;program;Metal array France;redundant;Synergistic Personal Loan Account Sleek;../fake-data/blob/hipster.png;image/png;false;50151;62789;79829;../fake-data/blob/hipster.txt;false;Handcrafted Cotton Bacon Unbranded Fresh Pants;1;2;2
3;California interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;../fake-data/blob/hipster.png;image/png;false;32665;52224;82786;../fake-data/blob/hipster.txt;true;lavender;2;3;3
4;Refined Intelligent Granite Shirt;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;../fake-data/blob/hipster.png;image/png;false;43897;74404;7845;../fake-data/blob/hipster.txt;false;Chips;1;4;4
5;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;../fake-data/blob/hipster.png;image/png;true;73003;41960;4771;../fake-data/blob/hipster.txt;false;strategic hack;1;5;5
6;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;../fake-data/blob/hipster.png;image/png;true;4530;26089;37461;../fake-data/blob/hipster.txt;false;Optimization Cambridgeshire;2;6;6
7;Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;../fake-data/blob/hipster.png;image/png;true;82063;94146;62593;../fake-data/blob/hipster.txt;false;Branding Dynamic black;1;7;7
8;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;../fake-data/blob/hipster.png;image/png;false;28185;49603;11816;../fake-data/blob/hipster.txt;true;extensible Accountability Handmade Cotton Bacon;2;8;8
9;China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;../fake-data/blob/hipster.png;image/png;true;23859;42899;67984;../fake-data/blob/hipster.txt;true;compress Fantastic Global;2;9;9
10;navigating encoding;Fantastic Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;../fake-data/blob/hipster.png;image/png;false;29321;60244;32866;../fake-data/blob/hipster.txt;true;ivory Data neural;1;10;10
