id;tipo_imposto;codigo_imposto;porcentagem;valor;descricao;pais;vigencia
1;zero defect drive Practical;convergence monitor;false;334;../fake-data/blob/hipster.txt;Inlet;2019-12-12
2;SQL;Persevering Gorgeous Steel Salad Associate;false;10946;../fake-data/blob/hipster.txt;whiteboard Concrete;2019-12-11
3;neural Cloned Massachusetts;SCSI Communications Underpass;true;98918;../fake-data/blob/hipster.txt;parse;2019-12-12
4;matrix;deposit Auto Loan Account Avon;false;4694;../fake-data/blob/hipster.txt;architect;2019-12-12
5;Accounts;wireless Generic Frozen Bike EXE;true;59727;../fake-data/blob/hipster.txt;Chile foreground Buckinghamshire;2019-12-11
6;Liaison Forward Flat;Reduced Antigua and Barbuda;true;89492;../fake-data/blob/hipster.txt;SDD Trail;2019-12-12
7;bi-directional;HTTP Configuration;true;3542;../fake-data/blob/hipster.txt;monitoring Infrastructure bandwidth;2019-12-12
8;Implemented Computers;protocol Borders Tasty;false;10946;../fake-data/blob/hipster.txt;Senior Facilitator Sleek Fresh Shoes;2019-12-11
9;Internal Louisiana;Ouguiya Utah;false;73390;../fake-data/blob/hipster.txt;Seychelles SMTP Synchronised;2019-12-12
10;Fish next-generation Quality-focused;Brunei Dollar Credit Card Account override;false;88163;../fake-data/blob/hipster.txt;Accountability Burg SAS;2019-12-12
