id;ativo;perfil_profissional;satisfacao;frequencia;canal_usado;numero;autofacturacao;pessoa_id
1;true;../fake-data/blob/hipster.txt;671;34060;Licensed Cotton Soap artificial intelligence;generating Guinea overriding;true;1
2;true;../fake-data/blob/hipster.txt;55968;45400;Yuan Renminbi;Analyst;false;2
3;false;../fake-data/blob/hipster.txt;97745;50545;Liaison evolve;red;true;3
4;false;../fake-data/blob/hipster.txt;41415;16002;Home hack;Bedfordshire Fresh;true;4
5;false;../fake-data/blob/hipster.txt;37039;95591;info-mediaries ADP;Assistant Western Sahara;false;5
6;false;../fake-data/blob/hipster.txt;60687;96113;utilize;Director generate;true;6
7;false;../fake-data/blob/hipster.txt;47787;55371;Chad compress;indexing B2C compressing;true;7
8;false;../fake-data/blob/hipster.txt;17717;5764;cross-platform contextually-based;connecting Guadeloupe Towels;true;8
9;false;../fake-data/blob/hipster.txt;99971;44404;Auto Loan Account;maroon mobile;true;9
10;true;../fake-data/blob/hipster.txt;30048;62340;South Carolina;Fall interface;false;10
